,play-team-vtm-link,play-team-vtm,quarter,time,score,neutral,play-team-htm-link,play-team-htm,play-team-vtm-video-url,play-team-htm-video-url
164,,,2,3:27,,,,,,
165,,,2,3:15,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=254&Season=2025&title=Dantas P.FOUL (P2.T4)&SeasonType=Regular Season&LeagueID=10,Dantas P.FOUL (P2.T4),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/254/9384296f-ee18-fc70-1d4b-9fb6954b6823_1280x720.mp4
166,,,2,3:15,,,,,,
167,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=257&Season=2025&title=Charles 17' Pullup Jump Shot (16 PTS) (Sheldon 2 AST)&SeasonType=Regular Season&LeagueID=10,Charles 17' Pullup Jump Shot (16 PTS) (Sheldon 2 AST),2,3:05,35 - 41,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/257/b7786a45-3222-520f-ab9e-d21db22d5d20_1280x720.mp4,
168,,,2,2:46,35 - 43,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=259&Season=2025&title=Clark 2' Reverse Layup (12 PTS) (Dantas 1 AST)&SeasonType=Regular Season&LeagueID=10,Clark 2' Reverse Layup (12 PTS) (Dantas 1 AST),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/259/bee97db7-b586-c7b0-a4f5-2a0ef890e81b_1280x720.mp4
169,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=261&Season=2025&title=MISS Charles 1' Reverse Layup&SeasonType=Regular Season&LeagueID=10,MISS Charles 1' Reverse Layup,2,2:34,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/261/23c89640-f588-c061-fe47-db90d616c1d9_1280x720.mp4,
170,,,2,2:33,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=262&Season=2025&title=Clark REBOUND (Off:0 Def:1)&SeasonType=Regular Season&LeagueID=10,Clark REBOUND (Off:0 Def:1),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/262/2b2de7e6-631b-f927-35c5-b8dd81978ff1_1280x720.mp4
171,,,2,2:18,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=263&Season=2025&title=MISS Mitchell Driving Layup&SeasonType=Regular Season&LeagueID=10,MISS Mitchell Driving Layup,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/263/039cc975-ee1e-7fa6-7ac7-1d094816cc7a_1280x720.mp4
172,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=264&Season=2025&title=Mabrey REBOUND (Off:0 Def:4)&SeasonType=Regular Season&LeagueID=10,Mabrey REBOUND (Off:0 Def:4),2,2:14,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/264/7976c22d-1706-7208-802d-5ac8ea2c9b56_1280x720.mp4,
173,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=265&Season=2025&title=MISS Peters 27' 3PT Running Jump Shot&SeasonType=Regular Season&LeagueID=10,MISS Peters 27' 3PT Running Jump Shot,2,2:08,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/265/8b9cd786-98fe-118c-c304-bd6d18636c4d_1280x720.mp4,
174,,,2,2:07,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=266&Season=2025&title=Cunningham REBOUND (Off:1 Def:3)&SeasonType=Regular Season&LeagueID=10,Cunningham REBOUND (Off:1 Def:3),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/266/f5308251-20d6-e044-6370-43d125f301de_1280x720.mp4
175,,,2,2:00,35 - 45,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=267&Season=2025&title=Mitchell 2' Driving Layup (12 PTS) (Cunningham 1 AST)&SeasonType=Regular Season&LeagueID=10,Mitchell 2' Driving Layup (12 PTS) (Cunningham 1 AST),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/267/f32fe1a5-c9c2-3516-32a3-945d64504af5_1280x720.mp4
176,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=269&Season=2025&title=Hartley OFF.Foul (P2)&SeasonType=Regular Season&LeagueID=10,Hartley OFF.Foul (P2),2,1:46,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/269/37a38d89-23bc-0df6-453f-25a4cd8c606c_1280x720.mp4,
177,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=271&Season=2025&title=Hartley Offensive Foul Turnover (P1.T6)&SeasonType=Regular Season&LeagueID=10,Hartley Offensive Foul Turnover (P1.T6),2,1:46,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/271/2c096a37-a29c-3d88-20e3-c2f78607d27b_1280x720.mp4,
178,,,2,1:46,,,,,,
179,,,2,1:35,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=274&Season=2025&title=MISS Clark 27' 3PT Jump Shot&SeasonType=Regular Season&LeagueID=10,MISS Clark 27' 3PT Jump Shot,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/274/d0cf5632-29b4-d1ed-063d-1bc5377270a6_1280x720.mp4
180,,,2,1:33,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=275&Season=2025&title=FEVER Rebound&SeasonType=Regular Season&LeagueID=10,FEVER Rebound,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/275/3d961811-14e1-2fff-5c83-b80534f68521_1280x720.mp4
181,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=276&Season=2025&title=Mabrey L.B.FOUL (P1.PN)&SeasonType=Regular Season&LeagueID=10,Mabrey L.B.FOUL (P1.PN),2,1:33,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/276/e7f89d2e-24d9-38b3-ba19-fe1697b0679b_1280x720.mp4,
182,,,2,1:33,35 - 46,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=278&Season=2025&title=Hull Free Throw 1 of 2 (4 PTS)&SeasonType=Regular Season&LeagueID=10,Hull Free Throw 1 of 2 (4 PTS),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/278/6618b993-1015-b2f3-cfb4-801d13821c8e_1280x720.mp4
183,,Hull Free Throw 1 of 2 (4 PTS),2,1:33,,,,,,
184,,,2,1:33,35 - 47,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=281&Season=2025&title=Hull Free Throw 2 of 2 (5 PTS)&SeasonType=Regular Season&LeagueID=10,Hull Free Throw 2 of 2 (5 PTS),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/281/1b62b75f-4b71-3817-51aa-5ef16f5938ae_1280x720.mp4
185,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=282&Season=2025&title=MISS Charles 13' Turnaround Fadeaway Shot&SeasonType=Regular Season&LeagueID=10,MISS Charles 13' Turnaround Fadeaway Shot,2,1:22,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/282/a93ad0ad-f78d-4c07-aeb0-d0e9f25eed7b_1280x720.mp4,
186,,,2,1:18,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=283&Season=2025&title=Cunningham REBOUND (Off:1 Def:4)&SeasonType=Regular Season&LeagueID=10,Cunningham REBOUND (Off:1 Def:4),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/283/ead24599-6b54-c970-3b99-fb9a1a73a7cf_1280x720.mp4
187,,,2,1:10,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=284&Season=2025&title=MISS Mitchell 26' 3PT Pullup Jump Shot&SeasonType=Regular Season&LeagueID=10,MISS Mitchell 26' 3PT Pullup Jump Shot,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/284/b8f1c498-2131-da51-062f-29ebb76a3983_1280x720.mp4
188,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=285&Season=2025&title=Charles REBOUND (Off:1 Def:2)&SeasonType=Regular Season&LeagueID=10,Charles REBOUND (Off:1 Def:2),2,1:06,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/285/650334e8-c1a1-422c-44c6-ff009a28778d_1280x720.mp4,
189,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=286&Season=2025&title=Brown 2' Running Layup (5 PTS) (Sheldon 3 AST)&SeasonType=Regular Season&LeagueID=10,Brown 2' Running Layup (5 PTS) (Sheldon 3 AST),2,1:02,37 - 47,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/286/e31ab97d-c718-a969-4dc9-57a4f21f6034_1280x720.mp4,
190,,,2,0:50,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=288&Season=2025&title=Clark OFF.Foul (P1)&SeasonType=Regular Season&LeagueID=10,Clark OFF.Foul (P1),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/288/7c6fe246-7d81-c0b8-240c-7b8f51877bf2_1280x720.mp4
191,,,2,0:50,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=290&Season=2025&title=Clark Offensive Foul Turnover (P3.T7)&SeasonType=Regular Season&LeagueID=10,Clark Offensive Foul Turnover (P3.T7),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/290/e611b2cf-11ad-d826-557e-6accef8957e2_1280x720.mp4
192,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=291&Season=2025&title=MISS Sheldon 24' 3PT Jump Shot&SeasonType=Regular Season&LeagueID=10,MISS Sheldon 24' 3PT Jump Shot,2,0:37,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/291/810d0e66-0b76-e748-114f-4131b6ca3679_1280x720.mp4,
193,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=292&Season=2025&title=Sun Rebound&SeasonType=Regular Season&LeagueID=10,Sun Rebound,2,0:33,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/292/5718518c-a855-6062-6e11-cdef3c9f8b2a_1280x720.mp4,
194,,,2,0:33,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=293&Season=2025&title=Hull L.B.FOUL (P1.PN)&SeasonType=Regular Season&LeagueID=10,Hull L.B.FOUL (P1.PN),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/293/f914e456-2bb0-d4af-8a43-1586695f3146_1280x720.mp4
